t,K,SDP obj.,Sample obj.,PEP obj.,SDP solvetime(s),SDP improv.,Samp improv.
0.0175,1,$1.35 \times 10^{2}$,$1.34 \times 10^{2}$,$1.37 \times 10^{3}$,$4.20 \times 10^{1}$,$1.01 \times 10^{1}$,$1.02 \times 10^{1}$
,2,$1.50 \times 10^{1}$,$1.49 \times 10^{1}$,$7.68 \times 10^{2}$,$1.08 \times 10^{2}$,$5.10 \times 10^{1}$,$5.15 \times 10^{1}$
,3,4.46,4.41,$4.32 \times 10^{2}$,$1.77 \times 10^{2}$,$9.69 \times 10^{1}$,$9.79 \times 10^{1}$
,4,1.66,1.64,$2.43 \times 10^{2}$,$2.66 \times 10^{2}$,$1.46 \times 10^{2}$,$1.48 \times 10^{2}$
,5,$7.22 \times 10^{-1}$,$7.10 \times 10^{-1}$,$1.37 \times 10^{2}$,$5.89 \times 10^{2}$,$1.89 \times 10^{2}$,$1.92 \times 10^{2}$
,6,$3.47 \times 10^{-1}$,$3.32 \times 10^{-1}$,$7.69 \times 10^{1}$,$4.94 \times 10^{2}$,$2.21 \times 10^{2}$,$2.31 \times 10^{2}$
,7,$1.94 \times 10^{-1}$,$1.64 \times 10^{-1}$,$4.25 \times 10^{1}$,$6.85 \times 10^{2}$,$2.20 \times 10^{2}$,$2.59 \times 10^{2}$
,8,$1.36 \times 10^{-1}$,$7.55 \times 10^{-2}$,$2.37 \times 10^{1}$,$6.30 \times 10^{2}$,$1.74 \times 10^{2}$,$3.14 \times 10^{2}$
,9,$9.14 \times 10^{-2}$,$3.83 \times 10^{-2}$,$1.36 \times 10^{1}$,$9.10 \times 10^{2}$,$1.49 \times 10^{2}$,$3.55 \times 10^{2}$
,10,$1.26 \times 10^{-1}$,$2.10 \times 10^{-2}$,7.23,$1.02 \times 10^{3}$,$5.76 \times 10^{1}$,$3.44 \times 10^{2}$
0.02,1,$1.76 \times 10^{2}$,$1.75 \times 10^{2}$,$1.78 \times 10^{3}$,$4.56 \times 10^{1}$,$1.01 \times 10^{1}$,$1.02 \times 10^{1}$
,2,$1.95 \times 10^{1}$,$1.93 \times 10^{1}$,$1.78 \times 10^{3}$,$1.10 \times 10^{2}$,$9.15 \times 10^{1}$,$9.24 \times 10^{1}$
,3,4.76,4.70,$1.78 \times 10^{3}$,$1.78 \times 10^{2}$,$3.75 \times 10^{2}$,$3.80 \times 10^{2}$
,4,1.43,1.41,$1.78 \times 10^{3}$,$2.72 \times 10^{2}$,$1.25 \times 10^{3}$,$1.27 \times 10^{3}$
,5,$5.64 \times 10^{-1}$,$5.38 \times 10^{-1}$,$1.78 \times 10^{3}$,$4.78 \times 10^{2}$,$3.16 \times 10^{3}$,$3.31 \times 10^{3}$
,6,$2.50 \times 10^{-1}$,$2.31 \times 10^{-1}$,$1.78 \times 10^{3}$,$5.06 \times 10^{2}$,$7.12 \times 10^{3}$,$7.73 \times 10^{3}$
,7,$1.48 \times 10^{-1}$,$9.44 \times 10^{-2}$,$1.78 \times 10^{3}$,$7.09 \times 10^{2}$,$1.20 \times 10^{4}$,$1.89 \times 10^{4}$
,8,$1.13 \times 10^{-1}$,$4.37 \times 10^{-2}$,$1.78 \times 10^{3}$,$6.84 \times 10^{2}$,$1.57 \times 10^{4}$,$4.08 \times 10^{4}$
,9,$2.45 \times 10^{-1}$,$2.27 \times 10^{-2}$,$1.78 \times 10^{3}$,$9.18 \times 10^{2}$,$7.28 \times 10^{3}$,$7.87 \times 10^{4}$
,10,$2.51 \times 10^{-1}$,$1.28 \times 10^{-2}$,$1.78 \times 10^{3}$,$1.08 \times 10^{3}$,$7.09 \times 10^{3}$,$1.40 \times 10^{5}$
