sdp_objval,sdp_solvetime,num_cones,problem_dim,x_dim,num_Aeq,num_Au,num_Al,sdp_canontime,orig_m,orig_n,b_r,b_c,K,t
15.087498799169776,37.367433599894866,1.0,141.0,10011.0,41.0,2.0,19820.0,18.27696442604065,60.0,40.0,1.0,20.0,1.0,0.005096823648393349
29.79936857046441,43.00824712798931,1.0,141.0,10011.0,41.0,2.0,19820.0,17.244239568710327,60.0,40.0,1.0,20.0,1.0,0.007161951216103618
58.826399039567036,39.39999984798487,1.0,141.0,10011.0,41.0,2.0,19820.0,17.27030634880066,60.0,40.0,1.0,20.0,1.0,0.01006382577863316
59.57690069172511,41.32403477199841,1.0,141.0,10011.0,41.0,2.0,19820.0,17.228694438934326,60.0,40.0,1.0,20.0,1.0,0.010128528542868219
60.347521366224775,43.135145026957616,1.0,141.0,10011.0,41.0,2.0,19820.0,17.22678542137146,60.0,40.0,1.0,20.0,1.0,0.010193647296786694
5.684491363680223,123.68922061496414,2.0,181.0,16471.0,81.0,2.0,32740.0,30.288596630096436,60.0,40.0,1.0,20.0,2.0,0.005096823648393349
7.670876947960064,126.28392758092377,2.0,181.0,16471.0,81.0,2.0,32740.0,30.132816314697266,60.0,40.0,1.0,20.0,2.0,0.007161951216103618
11.094402149263908,111.82544656493701,2.0,181.0,16471.0,81.0,2.0,32740.0,30.244704961776733,60.0,40.0,1.0,20.0,2.0,0.01006382577863316
11.226468540362209,123.58951519301627,2.0,181.0,16471.0,81.0,2.0,32740.0,30.211759090423584,60.0,40.0,1.0,20.0,2.0,0.010128528542868219
11.367830847584049,128.99887445603963,2.0,181.0,16471.0,81.0,2.0,32740.0,30.37686538696289,60.0,40.0,1.0,20.0,2.0,0.010193647296786694
3.1839978602230032,202.88747459405567,3.0,221.0,24531.0,121.0,2.0,48860.0,51.16680359840393,60.0,40.0,1.0,20.0,3.0,0.005096823648393349
3.8846963471317286,190.63935865589883,3.0,221.0,24531.0,121.0,2.0,48860.0,55.95515751838684,60.0,40.0,1.0,20.0,3.0,0.007161951216103618
4.68290657986731,216.51053050602786,3.0,221.0,24531.0,121.0,2.0,48860.0,55.92010283470154,60.0,40.0,1.0,20.0,3.0,0.01006382577863316
4.713196746918609,214.7843215049943,3.0,221.0,24531.0,121.0,2.0,48860.0,55.93060255050659,60.0,40.0,1.0,20.0,3.0,0.010128528542868219
4.730852805751188,217.13931868597865,3.0,221.0,24531.0,121.0,2.0,48860.0,55.748939752578735,60.0,40.0,1.0,20.0,3.0,0.010193647296786694
1.977426781482506,255.45274037797935,4.0,261.0,34191.0,161.0,2.0,68180.0,80.70209264755249,60.0,40.0,1.0,20.0,4.0,0.005096823648393349
2.2372764127863274,250.81285043002572,4.0,261.0,34191.0,161.0,2.0,68180.0,74.44614243507385,60.0,40.0,1.0,20.0,4.0,0.007161951216103618
2.217905573164919,273.6960528329946,4.0,261.0,34191.0,161.0,2.0,68180.0,74.41093921661377,60.0,40.0,1.0,20.0,4.0,0.01006382577863316
2.17857073958787,259.1054440389853,4.0,261.0,34191.0,161.0,2.0,68180.0,74.38803839683533,60.0,40.0,1.0,20.0,4.0,0.010128528542868219
2.1777560714354185,252.61580701603089,4.0,261.0,34191.0,161.0,2.0,68180.0,74.3160605430603,60.0,40.0,1.0,20.0,4.0,0.010193647296786694
1.3213850102462088,341.4038802520372,5.0,301.0,45451.0,201.0,2.0,90700.0,103.03613424301147,60.0,40.0,1.0,20.0,5.0,0.005096823648393349
1.48425589616263,332.7403598220553,5.0,301.0,45451.0,201.0,2.0,90700.0,103.46970009803772,60.0,40.0,1.0,20.0,5.0,0.007161951216103618
1.1982878372263364,430.2627187229227,5.0,301.0,45451.0,201.0,2.0,90700.0,103.21729803085327,60.0,40.0,1.0,20.0,5.0,0.01006382577863316
1.1514879581973791,487.4002858019667,5.0,301.0,45451.0,201.0,2.0,90700.0,103.02567434310913,60.0,40.0,1.0,20.0,5.0,0.010128528542868219
1.0977210299727824,415.2097582570277,5.0,301.0,45451.0,201.0,2.0,90700.0,102.98864483833313,60.0,40.0,1.0,20.0,5.0,0.010193647296786694
0.9709739723878563,444.44140306592453,6.0,341.0,58311.0,241.0,2.0,116420.0,137.74567222595215,60.0,40.0,1.0,20.0,6.0,0.005096823648393349
0.9165131640721556,485.45399848907255,6.0,341.0,58311.0,241.0,2.0,116420.0,138.06579327583313,60.0,40.0,1.0,20.0,6.0,0.007161951216103618
0.7916523391669528,568.2068174739834,6.0,341.0,58311.0,241.0,2.0,116420.0,138.00080180168152,60.0,40.0,1.0,20.0,6.0,0.01006382577863316
0.9093798937469346,550.8674086970277,6.0,341.0,58311.0,241.0,2.0,116420.0,137.9851474761963,60.0,40.0,1.0,20.0,6.0,0.010128528542868219
0.8376397910261235,578.6109165599337,6.0,341.0,58311.0,241.0,2.0,116420.0,138.313823223114,60.0,40.0,1.0,20.0,6.0,0.010193647296786694
0.7921909083913015,591.463295401074,7.0,381.0,72771.0,281.0,2.0,145340.0,214.2074944972992,60.0,40.0,1.0,20.0,7.0,0.005096823648393349
0.6548702002607842,590.8852003320353,7.0,381.0,72771.0,281.0,2.0,145340.0,214.81573486328125,60.0,40.0,1.0,20.0,7.0,0.007161951216103618
0.48425033319380884,828.7712392170215,7.0,381.0,72771.0,281.0,2.0,145340.0,215.1540970802307,60.0,40.0,1.0,20.0,7.0,0.01006382577863316
0.4453582111474299,860.6826399469282,7.0,381.0,72771.0,281.0,2.0,145340.0,214.71047830581665,60.0,40.0,1.0,20.0,7.0,0.010128528542868219
