t,K,sample_num,resid
0.01,1.0,10000.0,43.73768081233769
0.01,2.0,10000.0,13.242394577768849
0.01,3.0,10000.0,5.498824267261972
0.01,4.0,10000.0,2.688711615501625
0.01,5.0,10000.0,1.4652088660252214
0.01,6.0,10000.0,0.8603650957088744
0.01,7.0,10000.0,0.5283338928692964
0.01,8.0,10000.0,0.3344966102168183
0.01,9.0,10000.0,0.2168121550511998
0.01,10.0,10000.0,0.143225753004337
0.0125,1.0,10000.0,68.34012626927763
0.0125,2.0,10000.0,14.174751352247084
0.0125,3.0,10000.0,5.256197937711989
0.0125,4.0,10000.0,2.357573314631338
0.0125,5.0,10000.0,1.1993920463360794
0.0125,6.0,10000.0,0.6536303037486475
0.0125,7.0,10000.0,0.3723421813140591
0.0125,8.0,10000.0,0.2191608911644797
0.0125,9.0,10000.0,0.132525151998011
0.0125,10.0,10000.0,0.0820450024902248
0.015,1.0,10000.0,98.40978182775984
0.015,2.0,10000.0,14.12755951494625
0.015,3.0,10000.0,4.834448988412999
0.015,4.0,10000.0,2.0006262021806736
0.015,5.0,10000.0,0.9419980071297924
0.015,6.0,10000.0,0.4752174975107975
0.015,7.0,10000.0,0.2512894664185335
0.015,8.0,10000.0,0.1381338417408245
0.015,9.0,10000.0,0.0751242604085051
0.015,10.0,10000.0,0.0396098764380586
0.0175,1.0,10000.0,133.94664748778422
0.0175,2.0,10000.0,14.922457952935924
0.0175,3.0,10000.0,4.414152203721622
0.0175,4.0,10000.0,1.6383240074414165
0.0175,5.0,10000.0,0.7104528850295482
0.0175,6.0,10000.0,0.3320735998049055
0.0175,7.0,10000.0,0.1641725447083377
0.0175,8.0,10000.0,0.0754671012958465
0.0175,9.0,10000.0,0.0382670966888247
0.0175,10.0,10000.0,0.0210443456184619
0.0200000000000001,1.0,10000.0,174.95072324935077
0.0200000000000001,2.0,10000.0,19.293673031483003
0.0200000000000001,3.0,10000.0,4.697820530129254
0.0200000000000001,4.0,10000.0,1.4084365480056378
0.0200000000000001,5.0,10000.0,0.5381495076863911
0.0200000000000001,6.0,10000.0,0.2307403444980279
0.0200000000000001,7.0,10000.0,0.094430129135075
0.0200000000000001,8.0,10000.0,0.0436799945502196
0.0200000000000001,9.0,10000.0,0.0226532002388508
0.0200000000000001,10.0,10000.0,0.0127590846482649
