t,K,SDP obj.,Sample obj.,PEP obj.,SDP solvetime(s),SDP improv.,Samp improv.
0.01,1,65.89034324,65.48082272,188.3954498,66.83909352,2.859227021,2.877108777
,2,10.10807892,10.04311455,37.21391615,148.5270195,3.681601266,3.705415881
,3,2.143665962,2.126571158,12.9613639,251.318944,6.046354297,6.094958944
,4,0.529514359,0.525036144,5.66731854,405.1945876,10.70286092,10.79414933
,5,0.1441709,0.139114306,2.797036632,562.881143,19.40084047,20.1060316
,6,0.053541686,0.038363221,1.486233289,705.5023183,27.75843273,38.7410976
,7,0.016704198,0.010870074,0.829168794,509.564105,49.63834804,76.27995854
,8,0.00987727,0.003145566,0.478526042,527.8902573,48.44719664,152.1271663
,9,0.007517569,0.000926884,0.282978081,855.5514841,37.64223262,305.300427
,10,0.054521707,0.000277898,0.170377114,980.0080724,3.124940934,613.0922641
0.0125,1,102.9493619,102.3137855,294.3678898,71.68954446,2.859346424,2.877108772
,2,7.194351744,7.138044677,41.39548413,160.050905,5.753886605,5.799275012
,3,1.021201661,1.010850914,12.31601178,273.7984918,12.06031311,12.18380635
,4,0.167403389,0.163481118,4.774700307,381.5707188,28.52212453,29.20643292
,5,0.03566134,0.02832342,2.11321954,564.3302271,59.25799591,74.61032389
,6,0.014176292,0.005140699,1.010241654,716.1565231,71.26275714,196.5183439
,7,0.013011814,0.000970791,0.507105744,572.6875165,38.97271695,522.3634583
,8,0.021723886,0.00019043,0.262965111,510.6138686,12.10488358,1380.901701
,9,0.024080401,3.87432E-05,0.139456964,833.0669733,5.791305718,3599.521051
,10,0.007589028,8.17425E-06,0.075138057,1009.647548,9.900880192,9192.04294
0.015,1,148.2614598,147.3318511,423.8897569,68.02292929,2.85906909,2.877108743
,2,5.561588717,5.500900119,105.9724379,159.7285487,19.05434639,19.26456318
,3,0.392867044,0.386664494,26.49310631,260.7508681,67.43529831,68.51703924
,4,0.04001112,0.033818128,6.623276217,399.0998658,165.5358864,195.8498772
,5,0.017763575,0.003417207,1.655819358,589.0856672,93.21430838,484.5534256
,6,0.007336081,0.000385388,0.639315052,680.6232395,87.146673,1658.886763
,7,0.007215823,4.78532E-05,0.285987612,579.9075098,39.63340176,5976.352929
,8,0.037207205,6.49258E-06,0.131790204,491.5622629,3.542061383,20298.58762
,9,0.021121443,9.55514E-07,0.061928685,895.6169362,2.932029076,64811.90752
,10,0.015934614,1.52182E-07,0.029483437,893.6567074,1.850276197,193738.0045
0.0167,1,183.118613,181.8911742,523.3206955,75.07009423,2.857823609,2.877108787
,2,8.13516612,8.029580799,232.5869762,160.9868503,28.59031675,28.96626636
,3,0.631944699,0.619246949,103.3719884,272.3167294,163.5775861,166.9317686
,4,0.062942078,0.051706853,45.94310422,403.2315733,729.9267148,888.5302732
,5,0.012707037,0.004699975,20.41915747,563.637091,1606.917291,4344.524699
,6,0.00867477,0.000457597,9.075181518,708.8053893,1046.158171,19832.25746
,7,0.030559368,4.76813E-05,4.033412148,533.9131716,131.9861114,84591.0692
,8,0.008381272,5.37987E-06,1.792627921,525.6255172,213.8849474,333210.2673
,9,0.010531061,6.71277E-07,0.79672352,983.3648581,75.65462967,1186877.429
,10,0.011468552,9.31334E-08,0.35409783,973.6610569,30.87554819,3802049.855
0.0175,1,201.8245264,200.5350196,576.9610685,73.25122159,2.858726235,2.877108795
,2,11.39590311,11.25184968,324.5405974,153.2244266,28.47870803,28.8433108
,3,1.295229118,1.272493976,182.5540853,257.9576481,140.9434692,143.4616499
,4,0.168725864,0.160782255,45.94310422,430.117075,272.2943782,285.7473558
,5,0.030797523,0.021670743,57.76125027,588.1586776,1875.516101,2665.402394
,6,0.015541208,0.003044968,32.49070302,1128.18992,2090.616316,10670.29375
,7,0.010033179,0.000446578,18.27602177,531.688492,1821.558428,40924.59049
,8,0.00963106,6.87434E-05,10.2802547,523.4186862,1067.40636,149545.3338
,9,0.033529608,1.13438E-05,5.782645879,984.287089,172.4638677,509762.6791
,10,0.009897896,2.02763E-06,3.252738595,1145.259317,328.6292961,1604207.175
0.02,1,263.6857927,261.9232909,753.5817992,76.33400157,2.857877899,2.877108777
,2,33.40575492,33.05642221,753.5817954,159.8955695,22.55844232,22.79683478
,3,9.238477007,9.114754632,753.581802,268.4639025,81.56991693,82.67713531
,4,2.779456272,2.738645467,753.5817723,401.9928592,271.1256082,275.1658736
,5,0.868925858,0.852111681,753.5817981,729.3895986,867.2567299,884.3697545
,6,0.287356362,0.271098914,753.5815649,1195.384435,2622.463479,2779.729191
,7,0.145228237,0.087985553,753.5816629,598.5083983,5188.947263,8564.83408
,8,0.064754782,0.029202116,753.5817709,534.2780138,11637.46904,25805.72486
,9,0.073659134,0.009964792,753.5817027,948.1597866,10230.66199,75624.42876
,10,0.060704499,0.00351604,753.5817285,1180.466531,12413.93539,214326.836
