t,K,SDP obj.,Sample obj.,PEP obj.,SDP solvetime(s),SDP improv.,Samp improv.
0.01,1,$4.40 \times 10^{1}$,$4.37 \times 10^{1}$,$5.94 \times 10^{2}$,$4.72 \times 10^{1}$,$1.35 \times 10^{1}$,$1.36 \times 10^{1}$
,2,$1.33 \times 10^{1}$,$1.32 \times 10^{1}$,$1.11 \times 10^{2}$,$1.01 \times 10^{2}$,8.36,8.42
,3,5.54,5.50,$4.95 \times 10^{1}$,$1.63 \times 10^{2}$,8.95,9.01
,4,2.71,2.69,$2.79 \times 10^{1}$,$2.50 \times 10^{2}$,$1.03 \times 10^{1}$,$1.04 \times 10^{1}$
,5,1.48,1.47,$1.78 \times 10^{1}$,$4.42 \times 10^{2}$,$1.21 \times 10^{1}$,$1.22 \times 10^{1}$
,6,$8.69 \times 10^{-1}$,$8.60 \times 10^{-1}$,$1.24 \times 10^{1}$,$6.84 \times 10^{2}$,$1.42 \times 10^{1}$,$1.44 \times 10^{1}$
,7,$5.35 \times 10^{-1}$,$5.28 \times 10^{-1}$,9.10,$5.15 \times 10^{2}$,$1.70 \times 10^{1}$,$1.72 \times 10^{1}$
,8,$3.41 \times 10^{-1}$,$3.34 \times 10^{-1}$,6.97,$5.09 \times 10^{2}$,$2.04 \times 10^{1}$,$2.08 \times 10^{1}$
,9,$2.38 \times 10^{-1}$,$2.17 \times 10^{-1}$,5.50,$5.97 \times 10^{2}$,$2.31 \times 10^{1}$,$2.54 \times 10^{1}$
,10,$1.73 \times 10^{-1}$,$1.43 \times 10^{-1}$,4.46,$7.65 \times 10^{2}$,$2.58 \times 10^{1}$,$3.11 \times 10^{1}$
0.0125,1,$6.88 \times 10^{1}$,$6.83 \times 10^{1}$,$7.32 \times 10^{2}$,$4.21 \times 10^{1}$,$1.06 \times 10^{1}$,$1.07 \times 10^{1}$
,2,$1.43 \times 10^{1}$,$1.42 \times 10^{1}$,$1.25 \times 10^{2}$,$1.13 \times 10^{2}$,8.79,8.85
,3,5.30,5.26,$4.95 \times 10^{1}$,$1.62 \times 10^{2}$,9.35,9.42
,4,2.38,2.36,$2.79 \times 10^{1}$,$2.71 \times 10^{2}$,$1.17 \times 10^{1}$,$1.18 \times 10^{1}$
,5,1.21,1.20,$1.78 \times 10^{1}$,$5.08 \times 10^{2}$,$1.47 \times 10^{1}$,$1.49 \times 10^{1}$
,6,$6.62 \times 10^{-1}$,$6.54 \times 10^{-1}$,$1.24 \times 10^{1}$,$6.40 \times 10^{2}$,$1.87 \times 10^{1}$,$1.89 \times 10^{1}$
,7,$3.95 \times 10^{-1}$,$3.72 \times 10^{-1}$,9.10,$5.64 \times 10^{2}$,$2.30 \times 10^{1}$,$2.44 \times 10^{1}$
,8,$2.48 \times 10^{-1}$,$2.19 \times 10^{-1}$,6.97,$5.78 \times 10^{2}$,$2.81 \times 10^{1}$,$3.18 \times 10^{1}$
,9,$1.56 \times 10^{-1}$,$1.33 \times 10^{-1}$,5.50,$6.32 \times 10^{2}$,$3.53 \times 10^{1}$,$4.15 \times 10^{1}$
,10,$1.20 \times 10^{-1}$,$8.20 \times 10^{-2}$,4.46,$8.10 \times 10^{2}$,$3.70 \times 10^{1}$,$5.43 \times 10^{1}$
0.015,1,$9.91 \times 10^{1}$,$9.84 \times 10^{1}$,$1.00 \times 10^{3}$,$4.19 \times 10^{1}$,$1.01 \times 10^{1}$,$1.02 \times 10^{1}$
,2,$1.42 \times 10^{1}$,$1.41 \times 10^{1}$,$2.64 \times 10^{2}$,$9.99 \times 10^{1}$,$1.86 \times 10^{1}$,$1.87 \times 10^{1}$
,3,4.88,4.83,$6.27 \times 10^{1}$,$1.72 \times 10^{2}$,$1.29 \times 10^{1}$,$1.30 \times 10^{1}$
,4,2.02,2.00,$2.79 \times 10^{1}$,$2.76 \times 10^{2}$,$1.38 \times 10^{1}$,$1.39 \times 10^{1}$
,5,$9.53 \times 10^{-1}$,$9.42 \times 10^{-1}$,$1.78 \times 10^{1}$,$5.35 \times 10^{2}$,$1.87 \times 10^{1}$,$1.89 \times 10^{1}$
,6,$4.85 \times 10^{-1}$,$4.75 \times 10^{-1}$,$1.24 \times 10^{1}$,$6.66 \times 10^{2}$,$2.56 \times 10^{1}$,$2.61 \times 10^{1}$
,7,$3.29 \times 10^{-1}$,$2.51 \times 10^{-1}$,9.10,$6.33 \times 10^{2}$,$2.76 \times 10^{1}$,$3.62 \times 10^{1}$
,8,$1.78 \times 10^{-1}$,$1.38 \times 10^{-1}$,6.97,$5.16 \times 10^{2}$,$3.91 \times 10^{1}$,$5.04 \times 10^{1}$
,9,$1.25 \times 10^{-1}$,$7.51 \times 10^{-2}$,5.50,$8.46 \times 10^{2}$,$4.42 \times 10^{1}$,$7.33 \times 10^{1}$
,10,$1.03 \times 10^{-1}$,$3.96 \times 10^{-2}$,4.46,$1.00 \times 10^{3}$,$4.35 \times 10^{1}$,$1.13 \times 10^{2}$
