sdp_objval,sdp_solvetime,num_cones,problem_dim,x_dim,num_Aeq,num_Au,num_Al,sdp_canontime,orig_m,orig_n,b_r,K,t
15.074172350740618,48.921503762947395,1.0,141.0,10011.0,41.0,2.0,19820.0,24.486408233642578,60.0,40.0,1.0,1.0,0.005096823648393349
29.85092491452314,58.59966846101452,1.0,141.0,10011.0,41.0,2.0,19820.0,24.19403076171875,60.0,40.0,1.0,1.0,0.007161951216103618
58.82646180997256,57.74555821804097,1.0,141.0,10011.0,41.0,2.0,19820.0,24.273834705352783,60.0,40.0,1.0,1.0,0.010063825778633163
59.615736010483715,58.35656280902913,1.0,141.0,10011.0,41.0,2.0,19820.0,24.250625610351562,60.0,40.0,1.0,1.0,0.010128528542868219
60.41024639665568,58.621998686983716,1.0,141.0,10011.0,41.0,2.0,19820.0,24.234597206115723,60.0,40.0,1.0,1.0,0.010193647296786694
5.6129036609322895,154.05715691996738,2.0,181.0,16471.0,81.0,2.0,32740.0,42.64415192604065,60.0,40.0,1.0,2.0,0.005096823648393349
7.625728439155004,163.46394509798847,2.0,181.0,16471.0,81.0,2.0,32740.0,42.02967143058777,60.0,40.0,1.0,2.0,0.007161951216103618
11.056735496914255,157.225506200979,2.0,181.0,16471.0,81.0,2.0,32740.0,42.518271923065186,60.0,40.0,1.0,2.0,0.010063825778633163
11.173861568134921,156.19401121500414,2.0,181.0,16471.0,81.0,2.0,32740.0,42.65878510475159,60.0,40.0,1.0,2.0,0.010128528542868219
11.213289335489282,156.92471493699122,2.0,181.0,16471.0,81.0,2.0,32740.0,42.600139141082764,60.0,40.0,1.0,2.0,0.010193647296786694
3.134374091451609,261.8925919189933,3.0,221.0,24531.0,121.0,2.0,48860.0,69.48302292823792,60.0,40.0,1.0,3.0,0.005096823648393349
3.8288014191820317,228.8263373140362,3.0,221.0,24531.0,121.0,2.0,48860.0,69.92588138580322,60.0,40.0,1.0,3.0,0.007161951216103618
4.596467686788234,267.0940365889692,3.0,221.0,24531.0,121.0,2.0,48860.0,69.74299836158752,60.0,40.0,1.0,3.0,0.010063825778633163
4.606487865489617,248.39490048395237,3.0,221.0,24531.0,121.0,2.0,48860.0,69.71639323234558,60.0,40.0,1.0,3.0,0.010128528542868219
4.6481969655558295,246.39744345098734,3.0,221.0,24531.0,121.0,2.0,48860.0,69.68204665184021,60.0,40.0,1.0,3.0,0.010193647296786694
1.9509354589020957,319.4238762269961,4.0,261.0,34191.0,161.0,2.0,68180.0,102.09564518928528,60.0,40.0,1.0,4.0,0.005096823648393349
2.1981809077178838,326.70806524396176,4.0,261.0,34191.0,161.0,2.0,68180.0,102.72585988044739,60.0,40.0,1.0,4.0,0.007161951216103618
2.1320829467695717,333.4786228830344,4.0,261.0,34191.0,161.0,2.0,68180.0,102.39851522445679,60.0,40.0,1.0,4.0,0.010063825778633163
2.1233626577232956,311.0200138599612,4.0,261.0,34191.0,161.0,2.0,68180.0,101.15279626846313,60.0,40.0,1.0,4.0,0.010128528542868219
2.1165687752746276,308.0431449280004,4.0,261.0,34191.0,161.0,2.0,68180.0,102.53196167945862,60.0,40.0,1.0,4.0,0.010193647296786694
1.3079580021839667,482.45207172603114,5.0,301.0,45451.0,201.0,2.0,90700.0,141.2530493736267,60.0,40.0,1.0,5.0,0.005096823648393349
1.357881173476764,446.50918167701457,5.0,301.0,45451.0,201.0,2.0,90700.0,140.73735070228577,60.0,40.0,1.0,5.0,0.007161951216103618
1.076923747944468,537.7010663039982,5.0,301.0,45451.0,201.0,2.0,90700.0,142.4704270362854,60.0,40.0,1.0,5.0,0.010063825778633163
1.041053185378439,584.2595725050196,5.0,301.0,45451.0,201.0,2.0,90700.0,142.94806289672852,60.0,40.0,1.0,5.0,0.010128528542868219
1.0330619209000842,519.5288556169835,5.0,301.0,45451.0,201.0,2.0,90700.0,141.38988041877747,60.0,40.0,1.0,5.0,0.010193647296786694
0.9172644324000716,568.3928996950272,6.0,341.0,58311.0,241.0,2.0,116420.0,189.8535132408142,60.0,40.0,1.0,6.0,0.005096823648393349
0.8261437709954675,600.7411194820306,6.0,341.0,58311.0,241.0,2.0,116420.0,189.27189779281616,60.0,40.0,1.0,6.0,0.007161951216103618
0.5834357957486498,731.990178684995,6.0,341.0,58311.0,241.0,2.0,116420.0,189.09275197982788,60.0,40.0,1.0,6.0,0.010063825778633163
0.5732527218454795,692.4610220320174,6.0,341.0,58311.0,241.0,2.0,116420.0,184.5846176147461,60.0,40.0,1.0,6.0,0.010128528542868219
0.5749790090847515,748.035182348045,6.0,341.0,58311.0,241.0,2.0,116420.0,187.65698432922363,60.0,40.0,1.0,6.0,0.010193647296786694
0.6604258456709531,719.4307279999484,7.0,381.0,72771.0,281.0,2.0,145340.0,260.9380078315735,60.0,40.0,1.0,7.0,0.005096823648393349
0.5255846102531887,693.2911288350006,7.0,381.0,72771.0,281.0,2.0,145340.0,256.31448578834534,60.0,40.0,1.0,7.0,0.007161951216103618
0.40090734720968957,976.1984832150047,7.0,381.0,72771.0,281.0,2.0,145340.0,262.7116482257843,60.0,40.0,1.0,7.0,0.010063825778633163
0.3740069565330839,995.575640755007,7.0,381.0,72771.0,281.0,2.0,145340.0,258.728239774704,60.0,40.0,1.0,7.0,0.010128528542868219
0.32856299051999915,897.2074377209647,7.0,381.0,72771.0,281.0,2.0,145340.0,260.492778301239,60.0,40.0,1.0,7.0,0.010193647296786694
0.46687425151196127,912.9128643749864,8.0,421.0,88831.0,321.0,2.0,177460.0,333.0995137691498,60.0,40.0,1.0,8.0,0.005096823648393349
