n,num_iter,global_res,global_comp_time,sdp_res,sdp_comp_time,sample_or_max,eps
5,2,0.5887898130016422,0.0077321529388427734,0.6029548493568067,0.030928611755371094,sample,0.05
5,3,0.23388057818580674,0.04270482063293457,0.23830373636813082,0.38434338569641113,sample,0.05
5,4,0.12888685938251393,0.2091388702392578,0.1354274600508477,3.346221923828125,sample,0.05
5,5,0.07701015294689303,0.16377711296081543,0.07794955805447745,4.094427824020386,sample,0.05
5,6,0.047770553360442815,0.2218170166015625,0.05257010749007764,7.98541259765625,sample,0.05
5,2,0.5825165842597717,0.004970073699951172,0.5897517365834517,0.019880294799804688,sample,0.05
5,3,0.22806941818462484,0.08762097358703613,0.23112260755141012,0.7885887622833252,sample,0.05
5,4,0.12650549189305751,0.28820013999938965,0.13383690357818356,4.611202239990234,sample,0.05
5,5,0.07566262796080206,0.23502802848815918,0.075863703422677,5.8757007122039795,sample,0.05
5,6,0.04682515284396887,0.1772010326385498,0.05373298642078023,6.379237174987793,sample,0.05
5,2,0.5888724870825036,0.0034868717193603516,0.5950913156705026,0.013947486877441406,sample,0.05
5,3,0.23013753857666228,0.07132196426391602,0.23974016081695956,0.6418976783752441,sample,0.05
5,4,0.12999215074765227,0.19132614135742188,0.13739267488855025,3.06121826171875,sample,0.05
5,5,0.07784836305088139,0.1566028594970703,0.08357088210879011,3.915071487426758,sample,0.05
5,6,0.048016783188315273,0.1756751537322998,0.04987579679365376,6.324305534362793,sample,0.05
5,2,0.578082543573931,0.003740072250366211,0.5984274890664929,0.014960289001464844,sample,0.05
5,3,0.21898083820481715,0.08420491218566895,0.22558926721893355,0.7578442096710205,sample,0.05
5,4,0.12538859381527537,0.21845293045043945,0.1364023837791649,3.4952468872070312,sample,0.05
5,5,0.0751478760793487,0.14537906646728516,0.08096060480570728,3.634476661682129,sample,0.05
5,6,0.046093753916666924,0.16399884223937988,0.053441548598790696,5.903958320617676,sample,0.05
5,2,0.5815051738424687,0.0025510787963867188,0.5921015500564232,0.010204315185546875,sample,0.05
5,3,0.2216890825647689,0.06843900680541992,0.23179563613356766,0.6159510612487793,sample,0.05
5,4,0.1275318061282997,0.46316003799438477,0.12777172110716636,7.410560607910156,sample,0.05
5,5,0.07647745283013088,0.15262985229492188,0.07949320099687637,3.815746307373047,sample,0.05
5,6,0.04689205184687169,0.1405658721923828,0.05239349799264406,5.060371398925781,sample,0.05
5,2,0.5837213263196042,0.0037009716033935547,0.5979704490871358,0.014803886413574219,sample,0.05
5,3,0.2277942335276811,0.08528280258178711,0.23764211288181733,0.767545223236084,sample,0.05
5,4,0.12760022405149546,0.1685500144958496,0.1347792896621152,2.6968002319335938,sample,0.05
5,5,0.07636479295634982,0.14121294021606445,0.08289680115492115,3.5303235054016113,sample,0.05
5,6,0.0471772812075489,0.16800904273986816,0.052611475124229645,6.048325538635254,sample,0.05
5,2,0.5840265884222691,0.002846956253051758,0.6041814381484212,0.011387825012207031,sample,0.05
5,3,0.2284554195390055,0.061795949935913086,0.24018689593134493,0.5561635494232178,sample,0.05
