n,num_iter,global_res,global_comp_time,sdp_res,sdp_comp_time,sample_or_max,eps
5,4,0.12839298286040146,0.16574406623840332,0.12964581895180521,2.651905059814453,sample,0.05
5,5,0.07687077795846373,0.17252802848815918,0.08606560409591046,4.3132007122039795,sample,0.05
5,6,0.04746122273854983,0.15741515159606934,0.05341323356812576,5.666945457458496,sample,0.05
5,2,0.5814003587422033,0.011322021484375,0.5844958583134393,0.0452880859375,sample,0.05
5,3,0.22615606742709563,0.06369900703430176,0.24028953791579954,0.5732910633087158,sample,0.05
5,4,0.12566723168470134,0.13824009895324707,0.135758718668764,2.211841583251953,sample,0.05
5,5,0.07515312015358494,0.1527719497680664,0.08084412753973087,3.81929874420166,sample,0.05
5,6,0.04647339198258875,0.15941596031188965,0.04986658612613874,5.738974571228027,sample,0.05
5,2,0.5865635431659065,0.0031881332397460938,0.6109515807909787,0.012752532958984375,sample,0.05
5,3,0.22798783560449526,0.07494997978210449,0.2422512246443721,0.6745498180389404,sample,0.05
5,4,0.1290444176311734,0.1877729892730713,0.12919084368348593,3.0043678283691406,sample,0.05
5,5,0.07727170486432372,0.15883088111877441,0.08087148550910736,3.9707720279693604,sample,0.05
5,6,0.04761783071028494,0.14770793914794922,0.05370108539715209,5.317485809326172,sample,0.05
5,2,0.5865499900921741,0.0032460689544677734,0.6063924326761096,0.012984275817871094,sample,0.05
5,3,0.22832131218028157,0.05774188041687012,0.23205339031462124,0.519676923751831,sample,0.05
5,4,0.12881982283289076,0.13988900184631348,0.13313671884160205,2.2382240295410156,sample,0.05
5,5,0.0771818215478538,0.17396998405456543,0.08646263448250971,4.349249601364136,sample,0.05
5,6,0.04763137849302763,0.20659494400024414,0.05350149850905707,7.437417984008789,sample,0.05
5,2,0.586499637607944,0.0029799938201904297,0.6098549875560638,0.011919975280761719,sample,0.05
5,3,0.22580954875952727,0.04828500747680664,0.2360423146922922,0.43456506729125977,sample,0.05
5,4,0.12792432272612408,0.1564490795135498,0.13461973276393607,2.503185272216797,sample,0.05
5,5,0.07659102757089456,0.14199399948120117,0.08249012733444026,3.5498499870300293,sample,0.05
5,6,0.04716309249451695,0.16225981712341309,0.05324744274049003,5.841353416442871,sample,0.05
5,2,0.5897903345561937,0.002972841262817383,0.6082791044324258,0.011891365051269531,sample,0.05
5,3,0.2348729218117855,0.03710603713989258,0.24304723528874497,0.3339543342590332,sample,0.05
5,4,0.12963165106220093,0.12981295585632324,0.13247433391186747,2.077007293701172,sample,0.05
5,5,0.077506524763818,0.12895798683166504,0.08005008958152193,3.223949670791626,sample,0.05
5,6,0.048077823877607166,0.186082124710083,0.048561400213639465,6.698956489562988,sample,0.05
5,2,0.58251177083386,0.0036749839782714844,0.5831287390436433,0.014699935913085938,sample,0.05
5,3,0.22397243454946486,0.06118488311767578,0.225093261740519,0.550663948059082,sample,0.05
5,4,0.12658903242877892,0.11629796028137207,0.13508144209751102,1.8607673645019531,sample,0.05
5,5,0.07579201459529825,0.2028489112854004,0.0803289830408587,5.07122278213501,sample,0.05
5,6,0.04668729420014359,0.16447806358337402,0.05115878762604961,5.921210289001465,sample,0.05
5,2,0.5789860721493088,0.0027658939361572266,0.579502347135952,0.011063575744628906,sample,0.05
5,3,0.22075710783326383,0.0771949291229248,0.23339675206386618,0.6947543621063232,sample,0.05
5,4,0.1271839722861023,0.14567112922668457,0.13118418667138312,2.330738067626953,sample,0.05
5,5,0.0763212134938171,0.15009689331054688,0.08015585243553608,3.752422332763672,sample,0.05
5,6,0.04680067427800961,0.15146207809448242,0.05170331689095632,5.452634811401367,sample,0.05
5,2,0.5796545564872976,0.0035550594329833984,0.5842954550949464,0.014220237731933594,sample,0.05
5,3,0.22527448202443523,0.06308197975158691,0.24115434297396765,0.5677378177642822,sample,0.05
5,4,0.12587444580975338,0.17697691917419434,0.13446804926460107,2.8316307067871094,sample,0.05
5,5,0.07529393183820607,0.17062997817993164,0.07744900860934165,4.265749454498291,sample,0.05
5,6,0.0465002175459151,0.16253995895385742,0.05439497246665614,5.851438522338867,sample,0.05
5,2,0.5838231045194915,0.009750843048095703,0.5890098564055192,0.03900337219238281,sample,0.05
5,3,0.22366151037717955,0.08126401901245117,0.230739601523038,0.7313761711120605,sample,0.05
5,4,0.1276318254586155,0.18763208389282227,0.13230895021279332,3.0021133422851562,sample,0.05
5,5,0.0765511624150664,0.20856499671936035,0.08118691665871451,5.214124917984009,sample,0.05
5,6,0.04706798753455955,0.28569817543029785,0.04938156008701565,10.285134315490723,sample,0.05
5,2,0.5817526410480147,0.004934072494506836,0.5996741330778296,0.019736289978027344,sample,0.05
5,3,0.22314832347889796,0.0596621036529541,0.2297493185256862,0.5369589328765869,sample,0.05
5,4,0.12790028779901835,0.1616508960723877,0.13496805419724972,2.586414337158203,sample,0.05
5,5,0.07672418440389608,0.14351606369018555,0.07855698276603687,3.5879015922546387,sample,0.05
5,6,0.047138476665145125,0.15546894073486328,0.04834554132633993,5.596881866455078,sample,0.05
5,2,0.5825553194285832,0.003034830093383789,0.6051483129222315,0.012139320373535156,sample,0.05
5,3,0.22341461888059763,0.05034804344177246,0.2248049928046313,0.45313239097595215,sample,0.05
5,4,0.1266848059136511,0.1584019660949707,0.13358721178768118,2.5344314575195312,sample,0.05
5,5,0.0758377595600012,0.13901877403259277,0.0816825202495589,3.4754693508148193,sample,0.05
5,6,0.0466549064562278,0.27614402770996094,0.054671042944121374,9.941184997558594,sample,0.05
5,2,0.5914797908753129,0.0031960010528564453,0.6082277045400857,0.012784004211425781,sample,0.05
5,3,0.23599354148373228,0.09020614624023438,0.24907942335078456,0.8118553161621094,sample,0.05
5,4,0.13025031863472245,0.19893217086791992,0.13377194495664682,3.1829147338867188,sample,0.05
5,5,0.07790533544392661,0.15969395637512207,0.08376943710578988,3.9923489093780518,sample,0.05
5,6,0.04836158638874156,0.21777701377868652,0.04889454693974973,7.839972496032715,sample,0.05
5,2,0.5797680604950695,0.0041010379791259766,0.5855606011568496,0.016404151916503906,sample,0.05
5,3,0.22610083819120297,0.09404778480529785,0.24192281856479766,0.8464300632476807,sample,0.05
5,4,0.126486642868235,0.22109198570251465,0.13825386417706623,3.5374717712402344,sample,0.05
5,5,0.0756372587198618,0.13577008247375488,0.08362928459338571,3.394252061843872,sample,0.05
5,6,0.04670624135084309,0.14859294891357422,0.05195997415806635,5.349346160888672,sample,0.05
