n,num_iter,global_res,global_comp_time,sample_or_max,eps
5,2,0.585317154907356,0.004387855529785156,sample,0.05
5,3,0.2301904830660298,0.049820899963378906,sample,0.05
5,4,0.12750473199105317,0.1766059398651123,sample,0.05
5,5,0.07624689256255086,0.21030306816101074,sample,0.05
5,6,0.047214559903234636,0.15844202041625977,sample,0.05
5,2,0.5825165842597717,0.009307146072387695,sample,0.05
5,3,0.22806941818462484,0.07909703254699707,sample,0.05
5,4,0.12650549189305751,0.23561501502990723,sample,0.05
5,5,0.07566262796080206,0.174422025680542,sample,0.05
5,6,0.04682515284396887,0.1500871181488037,sample,0.05
5,2,0.5880740428685004,0.005133152008056641,sample,0.05
5,3,0.23319755059965652,0.038266897201538086,sample,0.05
5,4,0.1283488713448183,0.23247098922729492,sample,0.05
5,5,0.0766698443341097,0.16434383392333984,sample,0.05
5,6,0.04757680248322814,0.19143080711364746,sample,0.05
5,2,0.5888724870825036,0.003787994384765625,sample,0.05
5,3,0.23013753857666228,0.06137204170227051,sample,0.05
5,4,0.12999215074765227,0.21426796913146973,sample,0.05
5,5,0.07784836305088139,0.1621110439300537,sample,0.05
5,6,0.048016783188315273,0.16078877449035645,sample,0.05
5,2,0.5825291594168218,0.0031180381774902344,sample,0.05
5,3,0.2232495167441196,0.04470086097717285,sample,0.05
5,4,0.1272576834173158,0.15278196334838867,sample,0.05
5,5,0.07623279516823189,0.14619708061218262,sample,0.05
5,6,0.04686197011041126,0.151170015335083,sample,0.05
5,2,0.578082543573931,0.003056049346923828,sample,0.05
5,3,0.21898083820481715,0.06473684310913086,sample,0.05
5,4,0.12538859381527537,0.19609308242797852,sample,0.05
5,5,0.0751478760793487,0.13890504837036133,sample,0.05
5,6,0.046093753916666924,0.1657700538635254,sample,0.05
5,2,0.5816067070501322,0.0031599998474121094,sample,0.05
5,3,0.2244734086234813,0.06414198875427246,sample,0.05
5,4,0.12635462095395694,0.18506598472595215,sample,0.05
5,5,0.07562785394201949,0.15908312797546387,sample,0.05
5,6,0.046622785584602394,0.15950608253479004,sample,0.05
5,2,0.5815051738424687,0.0027348995208740234,sample,0.05
5,3,0.2216890825647689,0.06409096717834473,sample,0.05
5,4,0.1275318061282997,0.1835160255432129,sample,0.05
5,5,0.07647745283013088,0.1592860221862793,sample,0.05
5,6,0.04689205184687169,0.16005206108093262,sample,0.05
5,2,0.5877080473390405,0.0030689239501953125,sample,0.05
5,3,0.2312508856188035,0.06764793395996094,sample,0.05
5,4,0.12947304515734437,0.20620393753051758,sample,0.05
5,5,0.07754456005921101,0.15998101234436035,sample,0.05
5,6,0.04794856123690341,0.1807880401611328,sample,0.05
5,2,0.5837213263196042,0.0040700435638427734,sample,0.05
5,3,0.2277942335276811,0.08387899398803711,sample,0.05
5,4,0.12760022405149546,0.20326590538024902,sample,0.05
5,5,0.07636479295634982,0.19534707069396973,sample,0.05
5,6,0.0471772812075489,0.1562669277191162,sample,0.05
5,2,0.582719645290996,0.002791881561279297,sample,0.05
5,3,0.22434884266257105,0.04860806465148926,sample,0.05
5,4,0.12740985857644646,0.1735079288482666,sample,0.05
5,5,0.0763257396878483,0.16425108909606934,sample,0.05
5,6,0.04697564840254548,0.20276999473571777,sample,0.05
5,2,0.5840265884222691,0.0030999183654785156,sample,0.05
5,3,0.2284554195390055,0.06212592124938965,sample,0.05
5,4,0.12839298286040146,0.17189621925354004,sample,0.05
5,5,0.07687077795846373,0.19091486930847168,sample,0.05
5,6,0.04746122273854983,0.15886378288269043,sample,0.05
5,2,0.5843294033789375,0.0028939247131347656,sample,0.05
5,3,0.224288911041503,0.03768301010131836,sample,0.05
