n,num_iter,global_res,global_comp_time,sample_or_max,eps
5,4,0.12882719545716168,0.16293787956237793,sample,0.05
5,5,0.07731222662122804,0.15796589851379395,sample,0.05
5,6,0.0474683318716625,0.1523590087890625,sample,0.05
5,2,0.5814003587422033,0.0031349658966064453,sample,0.05
5,3,0.22615606742709563,0.08479094505310059,sample,0.05
5,4,0.12566723168470134,0.1516571044921875,sample,0.05
5,5,0.07515312015358494,0.14252901077270508,sample,0.05
5,6,0.04647339198258875,0.15232110023498535,sample,0.05
5,2,0.5805242548410103,0.0029740333557128906,sample,0.05
5,3,0.22275037040963713,0.05780792236328125,sample,0.05
5,4,0.1267773986545876,0.18446803092956543,sample,0.05
5,5,0.07589391063123518,0.15819907188415527,sample,0.05
5,6,0.04666204132628277,0.19942903518676758,sample,0.05
5,2,0.5865635431659065,0.0054399967193603516,sample,0.05
5,3,0.22798783560449526,0.05275607109069824,sample,0.05
5,4,0.1290444176311734,0.14110898971557617,sample,0.05
5,5,0.07727170486432372,0.16388487815856934,sample,0.05
5,6,0.04761783071028494,0.17655301094055176,sample,0.05
5,2,0.5832447631094869,0.003201007843017578,sample,0.05
5,3,0.22756960692615952,0.07802891731262207,sample,0.05
5,4,0.12837805894343476,0.18163681030273438,sample,0.05
5,5,0.07696792086718471,0.18357014656066895,sample,0.05
5,6,0.047502383472736345,0.2288818359375,sample,0.05
5,2,0.5865499900921741,0.007840156555175781,sample,0.05
5,3,0.22832131218028157,0.05098891258239746,sample,0.05
5,4,0.12881982283289076,0.14270997047424316,sample,0.05
5,5,0.0771818215478538,0.17044401168823242,sample,0.05
5,6,0.04763137849302763,0.1950819492340088,sample,0.05
5,2,0.585954459286662,0.0026810169219970703,sample,0.05
5,3,0.22467124524221133,0.05431413650512695,sample,0.05
5,4,0.12836560800067912,0.1789999008178711,sample,0.05
5,5,0.07698653760443178,0.18974995613098145,sample,0.05
5,6,0.04731533367917308,0.207963228225708,sample,0.05
5,2,0.586499637607944,0.003443002700805664,sample,0.05
5,3,0.22580954875952727,0.056897878646850586,sample,0.05
5,4,0.12792432272612408,0.17510485649108887,sample,0.05
5,5,0.07659102757089456,0.15047883987426758,sample,0.05
5,6,0.04716309249451695,0.1838359832763672,sample,0.05
