glob_objval,glob_solvetime,orig_m,orig_n,K,t
0.124561289181635,3600.115625858307,30.0,15.0,6.0,0.013394143425255517
0.12511831948126684,3600.0965580940247,30.0,15.0,6.0,0.016593619890325838
0.11844150731867664,3600.0888719558716,30.0,15.0,6.0,0.020557359460958935
0.1288291508140702,3600.1009290218353,30.0,15.0,6.0,0.025467922659446862
