sdp_objval,sdp_solvetime,num_cones,x_dim,num_Aeq,Aeq_nnz,num_Au,Au_nnz,num_Al,Al_nnz,sdp_canontime,orig_m,orig_n,b_r,K,t
5.512581932400712,8.801449413993396,3.0,2926.0,1051.0,166441.0,2.0,75.0,5730.0,13878.0,6.044203996658325,30.0,15.0,0.1,1.0,0.01339414342525551
8.468864975564276,8.629361074999906,3.0,2926.0,1051.0,166441.0,2.0,75.0,5730.0,13878.0,6.0224456787109375,30.0,15.0,0.1,1.0,0.01659361989032583
12.997024619636514,8.168432678998215,3.0,2926.0,1051.0,166441.0,2.0,75.0,5730.0,13878.0,6.012218952178955,30.0,15.0,0.1,1.0,0.02055735946095892
19.963628172708123,8.373192371000187,3.0,2926.0,1051.0,166441.0,2.0,75.0,5730.0,13878.0,6.151293992996216,30.0,15.0,0.1,1.0,0.02546792265944685
20.643418683804285,8.076734198999475,3.0,2926.0,1051.0,166441.0,2.0,75.0,5730.0,13878.0,6.117643117904663,30.0,15.0,0.1,1.0,0.025900649915117663
21.353568472451922,7.98963213400566,3.0,2926.0,1051.0,166441.0,2.0,75.0,5730.0,13878.0,6.033325910568237,30.0,15.0,0.1,1.0,0.02634072966986367
22.0946861313656,8.032760446003522,3.0,2926.0,1051.0,166441.0,2.0,75.0,5730.0,13878.0,6.038485288619995,30.0,15.0,0.1,1.0,0.026788286850511024
1.5060010779234099,33.962900277998415,8.0,5671.0,2326.0,343231.0,2.0,75.0,11190.0,27666.0,12.585627794265747,30.0,15.0,0.1,2.0,0.01339414342525551
1.5106760612527927,32.200393349994556,8.0,5671.0,2326.0,343231.0,2.0,75.0,11190.0,27666.0,12.19335389137268,30.0,15.0,0.1,2.0,0.01659361989032583
1.3535460191725468,35.673205900005996,8.0,5671.0,2326.0,343231.0,2.0,75.0,11190.0,27878.0,12.128718852996826,30.0,15.0,0.1,2.0,0.02055735946095892
1.6078609436980686,35.332694305005134,8.0,5671.0,2326.0,343231.0,2.0,75.0,11190.0,27784.0,12.342214584350586,30.0,15.0,0.1,2.0,0.02546792265944685
1.6951064079937876,45.733003287008614,8.0,5671.0,2326.0,343231.0,2.0,75.0,11190.0,27784.0,12.159159898757935,30.0,15.0,0.1,2.0,0.025900649915117663
