n,num_iter,rho,global_res,global_comp_time,sdp_res,sdp_comp_time,sample_or_max,eps
5,2,1.0,3.8162818462996064,0.006746053695678711,3.824780868112705,0.026984214782714844,sample,0.05
5,3,1.0,2.8111216035847866,0.04894089698791504,2.813775498494181,0.44046807289123535,sample,0.05
5,4,1.0,2.238163085362867,0.12165188789367676,2.2420874457638673,1.9464302062988281,sample,0.05
5,5,1.0,1.812115039352682,0.14968013763427734,1.8126786824172325,3.7420034408569336,sample,0.05
5,6,1.0,1.5011872486720803,0.15397906303405762,1.5040669811498613,5.543246269226074,sample,0.05
5,2,10.0,0.8926545782836227,0.0029969215393066406,0.906594021247266,0.011987686157226562,sample,0.05
5,3,10.0,0.36400142925533685,0.05187201499938965,0.3671871187798501,0.46684813499450684,sample,0.05
5,4,10.0,0.22180205551361118,0.18472599983215332,0.22680763336333878,2.955615997314453,sample,0.05
5,5,10.0,0.14974575038536425,0.16745901107788086,0.1505365375597906,4.1864752769470215,sample,0.05
5,6,10.0,0.10189918299503199,0.18271899223327637,0.10548081901562482,6.577883720397949,sample,0.05
5,2,16.006865216022657,0.5757458587910557,0.011046886444091797,0.5800869501852637,0.04418754577636719,sample,0.05
5,3,16.006865216022657,0.23002662083432246,0.04155993461608887,0.23185853445439364,0.3740394115447998,sample,0.05
5,4,16.006865216022657,0.1257561022387661,0.14177799224853516,0.13015494924984172,2.2684478759765625,sample,0.05
5,5,16.006865216022657,0.07495281536579429,0.13495111465454102,0.07507346064291925,3.3737778663635254,sample,0.05
5,6,16.006865216022657,0.04648982961546598,0.1260509490966797,0.0506345297615528,4.537834167480469,sample,0.05
5,2,25.0,0.40642150053027676,0.0029761791229248047,0.40649193267316497,0.011904716491699219,sample,0.05
5,3,25.0,0.1639328436849429,0.07063508033752441,0.1707110090529052,0.6357157230377197,sample,0.05
5,4,25.0,0.07329172234959817,0.11773300170898438,0.07531678214853942,1.88372802734375,sample,0.05
5,5,25.0,0.04613111282379447,0.12042498588562012,0.05054227695653004,3.010624647140503,sample,0.05
5,6,25.0,0.021561953292848206,0.15529990196228027,0.0263728960184354,5.59079647064209,sample,0.05
5,2,100.0,0.13564311920301636,0.010303974151611328,0.13937441635581574,0.04121589660644531,sample,0.05
5,3,100.0,0.06403318084321998,0.11266613006591797,0.06979475418739835,1.0139951705932617,sample,0.05
5,4,100.0,0.03587716497608183,0.08808302879333496,0.04031747946062062,1.4093284606933594,sample,0.05
5,5,100.0,0.029950007018254024,0.12526893615722656,0.033383518452999264,3.131723403930664,sample,0.05
5,6,100.0,0.019868783444330882,0.12565207481384277,0.020984191607533974,4.52347469329834,sample,0.05
